ts,trip,side,refBid,refAsk,refMid,limitPrice,limitFilled,limitWaitMs,finalOrderType,execPrice,execUnits,feeJpy,slippageBps
2026-05-11T13:00:20.989Z,1,BUY,12742799,12742800,12742799.5,12742798,false,60000,MARKET,12742800,0.0001,1,0.000
2026-05-11T13:01:04.937Z,1,SELL,12742799,12742800,12742799.5,12742801,true,43120,LIMIT,12742800.999999998,0.0001,0,-0.001
2026-05-11T13:02:17.731Z,2,BUY,12743919,12744480,12744199.5,12743918,false,60000,MARKET,12756191.8,0.0001,2,9.410
2026-05-11T13:02:18.339Z,2,SELL,12755998,12755999,12755998.5,12756000,true,44,LIMIT,12756239,0.0001,1,-0.189
2026-05-11T13:03:31.175Z,3,BUY,12756799,12756800,12756799.5,12756798,false,60000,MARKET,12759338.2,0.0001,4,1.990
2026-05-11T13:04:04.996Z,3,SELL,12760719,12761280,12760999.5,12761281,true,32995,LIMIT,12761281,0.0001,0,-0.221
