ts,trip,side,refBid,refAsk,refMid,limitPrice,limitFilled,limitWaitMs,finalOrderType,execPrice,execUnits,feeJpy,slippageBps
2026-05-11T13:26:03.739Z,1,BUY,12756521,12756522,12756521.5,12756521,true,22865,LIMIT,12756521,0.0001,0,-0.000
2026-05-11T13:31:07.945Z,1,SELL,12750000,12751977,12750988.5,12751977,false,300000,MARKET,12744450.000000002,0.0001,1,5.128
2026-05-11T13:31:29.385Z,2,BUY,12744502,12745000,12744751,12744502,true,10576,LIMIT,12744502,0.0001,0,-0.195
2026-05-11T13:36:33.447Z,2,SELL,12740100,12744503,12742301.5,12744503,false,300000,MARKET,12708401,0.0001,1,26.605
