ts,trip,side,refBid,refAsk,refMid,limitPrice,limitFilled,limitWaitMs,finalOrderType,execPrice,execUnits,feeJpy,slippageBps
2026-05-11T11:54:39.926Z,1,BUY,12753999,12754560,12754279.5,12753999,false,60000,MARKET,12755217.200000001,0.0001,2,0.735
2026-05-11T11:54:41.918Z,1,SELL,12755216,12755217,12755216.5,12755217,true,1354,LIMIT,12755217,0.0001,0,-0.000
2026-05-11T11:55:54.764Z,2,BUY,12755218,12755219,12755218.5,12755218,false,60000,MARKET,12755555.000000002,0.0001,1,0.264
2026-05-11T11:56:57.431Z,2,SELL,12755554,12755555,12755554.5,12755555,false,60000,MARKET,12754690.600000001,0.0001,2,0.677
2026-05-11T11:58:10.242Z,3,BUY,12755071,12755555,12755313,12755071,false,60000,MARKET,12755555.000000002,0.0001,1,0.190
2026-05-11T11:59:14.963Z,3,SELL,12755554,12755555,12755554.5,12755555,false,60000,MARKET,12755553.999999998,0.0001,1,0.000
